record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,error_message,preprocessing_used
R-0048,receipt,data/input_images/receipts/receipt_048_R-0048.jpg,2026-05-18,업무자동화카페,95150,,프로젝트 자료,0.9163,,True
S-0052,survey,data/input_images/surveys/survey_052_S-0052.jpg,2026-03-11,기획팀,,"만족도:5, 편의성:5, 속도:1",데이터 보정 기능 좋음,0.9237,,True
R-0055,receipt,data/input_images/receipts/receipt_055_R-0055.jpg,2026-03-19,업무자동화카페,91300,,대시보드 검토,0.8956,,True
S-0044,survey,data/input_images/surveys/survey_044_S-0044.jpg,2026-06-09,데이터팀,,"만족도:2, 편의성:3, 속도:5",이미지 업로드 편리 (전처리완료),0.9433,,True
R-0107,receipt,data/input_images/receipts/receipt_107_R-0107.jpg,2026-03-30,스마트오피스,89100,,실습 준비용,0.9057,,True
R-0111,receipt,data/input_images/receipts/receipt_111_R-0111.jpg,2026-04-08,테크문구,140250,,대시보드 검토,0.9595,,True
S-0033,survey,data/input_images/surveys/survey_033_S-0033.jpg,2026-07-09,교육팀,,"만족도:5, 편의성:5, 속도:3",보고서 자동화 유용,0.9361,,True
R-0069,receipt,data/input_images/receipts/receipt_069_R-0069.jpg,2026-07-03,테크문구,191950,,현장 실습비,0.9462,,True
R-0087,receipt,data/input_images/receipts/receipt_087_R-0087.jpg,2026-06-05,업무자동화카페,254650,,대시보드 검토,0.9469,,True
R-0119,receipt,data/input_images/receipts/receipt_119_R-0119.jpg,2026-06-27,모두카페,80300,,프로젝트 자료,0.9415,,True
S-0109,survey,data/input_images/surveys/survey_109_S-0109.jpg,2026-04-14,운영팀,,"만족도:4, 편의성:4, 속도:2",속도 개선 필요,0.9565,,True
R-0005,receipt,data/input_images/receipts/receipt_005_R-0005.jpg,2026-05-14,모두카페,202950,,실습 준비용,0.9281,,True
S-0117,survey,data/input_images/surveys/survey_117_S-0117.jpg,2026-03-12,재무팀,,"만족도:5, 편의성:5, 속도:3",데이터 보정 기능 좋음,0.9316,,True
S-0020,survey,data/input_images/surveys/survey_020_S-0020.jpg,2026-04-16,인사팀,,"만족도:2, 편의성:2, 속도:1",입력 절차가 간단함,0.9742,,True
R-0093,receipt,data/input_images/receipts/receipt_093_R-0093.jpg,2026-06-16,업무자동화카페,163900,,프로젝트 자료,0.9336,,True
R-0105,receipt,data/input_images/receipts/receipt_105_R-0105.jpg,2026-04-28,모두카페,126500,,팀 회의 사용,0.9484,,True
S-0096,survey,data/input_images/surveys/survey_096_S-0096.jpg,2026-03-19,재무팀,,"만족도:2, 편의성:2, 속도:4",입력 절차가 간단함,0.9155,,True
S-0097,survey,data/input_images/surveys/survey_097_S-0097.jpg,2026-04-30,영업팀,,"만족도:4, 편의성:2, 속도:4",이미지 업로드 편리,0.8801,,True
S-0115,survey,data/input_images/surveys/survey_115_S-0115.jpg,2026-05-10,데이터팀,,"만족도:5, 편의성:2, 속도:4",데이터 보정 기능 좋음,0.9489,,True
R-0057,receipt,data/input_images/receipts/receipt_057_R-0057.jpg,2026-05-15,업무자동화카페,320100,,현장 실습비,0.9123,,True
R-0056,receipt,data/input_images/receipts/receipt_056_R-0056.jpg,2026-04-12,데이터랩서점,64350,,현장 실습비,0.9085,,True
R-0078,receipt,data/input_images/receipts/receipt_078_R-0078.jpg,2026-04-01,클라우드문구,206800,,프로젝트 자료,0.9412,,True
S-0106,survey,data/input_images/surveys/survey_106_S-0106.jpg,2026-05-19,기획팀,,"만족도:5, 편의성:3, 속도:2",대시보드가 보기 쉬움,0.9323,,True
R-0072,receipt,data/input_images/receipts/receipt_072_R-0072.jpg,2026-05-09,서울프린트,305250,,현장 실습비,0.9193,,True
S-0064,survey,data/input_images/surveys/survey_064_S-0064.jpg,2026-04-06,운영팀,,"만족도:4, 편의성:3, 속도:5",메뉴 구성이 좋음,0.9569,,True
R-0115,receipt,data/input_images/receipts/receipt_115_R-0115.jpg,2026-05-10,AI세미나센터,142450,,프로젝트 자료,0.9289,,True
S-0013,survey,data/input_images/surveys/survey_013_S-0013.jpg,2026-05-20,재무팀,,"만족도:5, 편의성:5, 속도:3",보고서 자동화 유용,0.9072,,True
R-0070,receipt,data/input_images/receipts/receipt_070_R-0070.jpg,2026-05-28,그린오피스,91300,,대시보드 검토,0.9385,,True
R-0024,receipt,data/input_images/receipts/receipt_024_R-0024.jpg,2026-06-28,업무자동화카페,240350,,운영비 처리,0.8857,,True
S-0037,survey,data/input_images/surveys/survey_037_S-0037.jpg,2026-05-31,교육팀,,"만족도:3, 편의성:4, 속도:3",속도 개선 필요,0.8916,,True
R-0052,receipt,data/input_images/receipts/receipt_052_R-0052.jpg,2026-03-03,서울프린트,135300,,실습 준비용,0.9437,,True
R-0011,receipt,data/input_images/receipts/receipt_011_R-0011.jpg,2026-04-01,모두카페,167750,,프로젝트 자료,0.9494,,True
R-0053,receipt,data/input_images/receipts/receipt_053_R-0053.jpg,2026-05-24,서울프린트,150700,,프로젝트 자료,0.9608,,True
R-0026,receipt,data/input_images/receipts/receipt_026_R-0026.jpg,2026-03-29,스마트오피스,183700,,OCR 테스트용,0.9593,,True
S-0092,survey,data/input_images/surveys/survey_092_S-0092.jpg,2026-06-17,마케팅팀,,"만족도:2, 편의성:2, 속도:3",보고서 자동화 유용,0.9187,,True
R-0062,receipt,data/input_images/receipts/receipt_062_R-0062.jpg,2026-05-22,데이터랩서점,77000,,프로젝트 자료,0.9568,,True
R-0010,receipt,data/input_images/receipts/receipt_010_R-0010.jpg,2026-05-08,데이터랩서점,152900,,OCR 테스트용,0.9583,,True
R-0117,receipt,data/input_images/receipts/receipt_117_R-0117.jpg,2026-06-29,스마트오피스,220550,,현장 실습비,0.9116,,True
S-0027,survey,data/input_images/surveys/survey_027_S-0027.jpg,2026-04-13,마케팅팀,,"만족도:4, 편의성:5, 속도:5",데이터 보정 기능 좋음,0.9547,,True
S-0104,survey,data/input_images/surveys/survey_104_S-0104.jpg,2026-04-26,마케팅팀,,"만족도:5, 편의성:2, 속도:5",데이터 보정 기능 좋음,0.9107,,True
S-0045,survey,data/input_images/surveys/survey_045_S-0045.jpg,2026-06-25,데이터팀,,"만족도:3, 편의성:5, 속도:3",모바일 화면 개선,0.9117,,True
R-0106,receipt,data/input_images/receipts/receipt_106_R-0106.jpg,2026-06-25,AI세미나센터,86350,,현장 실습비,0.9323,,True
R-0044,receipt,data/input_images/receipts/receipt_044_R-0044.jpg,2026-06-02,모두카페,224950,,실습 준비용,0.9633,,True
S-0062,survey,data/input_images/surveys/survey_062_S-0062.jpg,2026-05-22,교육팀,,"만족도:5, 편의성:2, 속도:5",메뉴 구성이 좋음,0.9768,,True
